"id","name","type","description","img","iconx","icony"
"515","Quality Food Centers","37",,"0","31","4"
"516","Ruler Foods","37",,"0","32","4"
"517","Dell Technologies","34",,"0","33","4"
"521","Alienware Corporation","167",,"0","34","4"
"522","Secureworks","145",,"0","35","4"
"523","VMware","149",,"0","36","4"
"524","IBM","34",,"0","37","4"
"525","Red Hat","139",,"0","38","4"
"526","The Weather Company","168",,"0","39","4"
"527","Weather Underground","168",,"0","25","3"
"528","Sony Corporation","73",,"0","20","5"
"529","Sony Interactive Entertainment","74",,"0","21","5"
"530","Audiokinetic","149",,"0","22","5"
"531","SIE Worldwide Studios","50",,"0","21","5"
"532","Polyphony Digital","50",,"0","23","5"
"533","Bend Studio","50",,"0","24","5"
"534","Guerrilla Games","50",,"0","25","5"
"535","Insomniac Games","50",,"0","26","5"
"536","Media Molecule","50",,"0","27","5"
"537","Pixelopus","50",,"0","29","5"
"538","Sucker Punch Productions","50",,"0","30","5"
"539","Sony Pictures Entertainment","74",,"0","31","5"
"540","AXN","77",,"0","32","5"
"541","Sony Music Entertainment","129",,"0","33","5"
"542","Aniplex","128",,"0","34","5"
"543","Epic Records","82",,"0","35","5"
"544","Kioon Music","82",,"0","36","5"
"545","Columbia Records","82",,"0","37","5"
"546","RCA Records","82",,"0","38","5"
"547","Arista Records","82",,"0","39","5"
"548","Madison Gate Records","82",,"0","20","6"
"549","Columbia Pictures Industries","75",,"0","21","6"
"550","Ghost Corps","75",,"0","22","6"
"551","Screen Gems","75",,"0","23","6"
"552","2waytraffic","169",,"0","24","6"
"553","Embassy Row","169",,"0","25","6"
"554","Funimation Productions","170",,"0","26","6"
"555","Madman Anime Group","170",,"0","27","6"
"556","AnimeLab","80",,"0","28","6"
"557","Wakanim SAS","80",,"0","29","6"
"558","Manga Entertainment","170",,"0","30","6"
"559","Silvergate Media","169",,"0","31","6"
"560","TriStar Pictures","75",,"0","32","6"
"561","Legacy Recordings","82",,"0","33","6"
"562","CloverWorks","83",,"0","34","6"
"563","Facebook","110",,"0","35","6"
"564","Instagram","110",,"0","36","6"
"565","GIPHY","110",,"0","37","6"
"566","Mapillary","144",,"0","38","6"
"567","Oculus VR","162",,"0","39","6"
"568","Sanzaru Games","50",,"0","20","7"
"569","Ready At Dawn Studios","50",,"0","21","7"
"570","WhatsApp Messenger","161",,"0","22","7"
"571","ReactJS","149",,"0","23","7"
"572","Twitter","110",,"0","24","7"
"573","Periscope","42",,"0","25","7"
"574","Trendrr","49",,"0","26","7"
"580","PayPal Holdings","176",,"0","27","7"
"581","Honey Science Corp.","48",,"0","28","7"
"582","Venmo","176",,"0","29","7"
"583","Tradera Sweden AB","45",,"0","30","7"
"584","Berkshire Hathaway","123",,"0","31","7"
"585","Acme Brick Company","178",,"0","32","7"
"586","Ben Bridge Jeweler","179",,"0","33","7"
"587","Benjamin Moore & Co.","178",,"0","34","7"
"588","GEICO","180",,"0","35","7"
"589","BoatUS","183",,"0","36","7"
"590","Borsheim's Fine Jewelry","179",,"0","37","7"
"591","Brooks Sports","184",,"0","38","7"
"592","BNSF Railway Company","182",,"0","39","7"
"593","Business Wire","87",,"0","20","8"
"594","Clayton Homes","113",,"0","21","8"
"595","Dairy Queen","67",,"0","22","8"
"596","Orange Julius","26",,"0","23","8"
"597","Duracell","178",,"0","24","8"
"598","Forest River","126",,"0","25","8"
"599","Fruit of the Loom","185",,"0","26","8"
"600","Exquisite Form","185",,"0","27","8"
"601","Russell Athletic","184",,"0","28","8"
"602","Spalding","184",,"0","29","8"
"603","Garanimals","40",,"0","30","8"
"604","Gen Re","181",,"0","31","8"
"605","Helzberg Diamonds","179",,"0","32","8"
"606","Berkshire Hathaway Energy","123",,"0","33","8"
"607","MidAmerican Energy Company","186",,"0","33","8"
"608","PacifiCorp","186",,"0","33","8"
"609","Northern Powergrid Holdings Company","186",,"0","33","8"
"610","Integrated Utility Services UK","186",,"0","33","8"
"611","NV Energy","186",,"0","33","8"
"612","AltaLink","186",,"0","33","8"
